"","text"
"422"," trumptbird  hrs cnn  pushed  mantra obama warned
pres trump  hiring flynn
obama waited  mths  claim 

 don"
"423","freepalestine free palestine  breakgazaseige handsoffalaqsa gaza freepalestine boycottisrael donaldtrump cnn"
"424","whitehouse realdonaldtrump abc cbsnews nbcnightlynews cnn newsweek putinrfeng governmentrf fbi iran mi "
"425"," worldpeace tillmantinman superckooklarry actdontreact youstolemycloud willishubbard matters drewxray thenation erma"
"426"," cnntech uber  free  continue working   selfdriving cars   moment "
"427","cnn  enjoy  color   helmet"
"428"," cnnmoney wall street  still waiting  trump  unveil  specifics   massive tax cut plan "
"429"," world  floating city  millionaires  travel vacations"
"430"," tillmantinman matters willishubbard drewxray thenation erma godswordisfree bfostersbox bannerite superckooklarry "
"431","kayleighmcenany omg klee ur   deplorably  clueless hillbilly bimbo kardashian wannabe trump lover   b "
"432","russellrich cnn   dont care     keep whining   taxes  people keep dying"
"433","last week tonight host john oliver urges views  put pressure   fcc  maintain  net neutrality rules "
"434"," bharathmp bikes long  underdog  streets will rule  roads eventually  transport planning urban c"
"435"," cnntech paid parental leave    good  business    good   country "
"436"," cnn    things  learned  sally yates  james clappers appearance   senate committee  monday "
"437","gaizkaranguren cnn bourdain cnnoriginals ive seen books  assure  elvis  alive area   full   "
"438"," cnnmoney unemployment declined   lowest   years  employers added  strong  jobs last month us says "
"439"," happens  americans detained  north korea  cnn "
"440","canadian journalist asked  leave kushner family event  china  cnn "
"441","cnn   best jimmy     family"
"442","increadible  moms simple trick  burns body fat easily   "
"443","kazeskyz cernovich donlemon scottienhughes kfile dylanbyers brianstelter cnn   percent partisan pundit "
"444"," rwpusa science  now  important   epa  ethics    white house

"
"445"," yates  questions   trump white house  cnn "
"446"," cnnstyle  rising architectural stars  change indias skylines forever  "
"447"," happens  americans detained  north korea  cnn "
"448","canadian journalist asked  leave kushner family event  china  cnn "
"449","cnnnews journalist spreads fake news  gangrape  beef eating   via opindiacom "
"450","mob  blacks attack elderly white womanslam   ground threw   pool hurt  dogs   asked   turn music downno cnn"
"451","oh great wonder    original thought came  ha "
"452","  hell  wrong  jackkingstons face donlemon   put  cnn just  mock  gop good job  thats  case"
"453"," cnni  philippines senator tells  un  reports  extrajudicial killings  based  alternative facts "
"454"," frankieverschu  many paths  trump  russia "
"455"," cnnpolitics feinstein youre saying gen flynn lied   vice president

yates thats certainly   appeared yes "
"456","cnn    president   phillipines    saying hes killing   drug dealers  phillipines president lie "
"457"," matters tillmantinman willishubbard drewxray thenation erma godswordisfree bfostersbox bannerite superckooklarry "
"458","erdogan slams treatment  palestinians israel issues angry response  cnn "
"459"," tv shows lose  stars  cnn "
"460","canada floods  missing  quebec  british columbia  cnn "
"461","whitehouse realdonaldtrump abc cbsnews nbcnightlynews cnn newsweek putinrfeng governmentrf fbi iran  "
"462"," trumps yates tweet witness intimidation
  can  american people accept trump  president"
"463","navy seal confirms seal torch  x brighter  traditional flashlight   "
"464"," stonewallsue dudsealdavid traceysrogers mrsimonmorris alaw cnn lrihendry foxnews foxbusiness  never watch cnn either afte"
"465","cnn foxnews  trump found time  fire  patriot  sally yates  kept  flynn   dark  worrying"
"466"," tomperez sally yates  fired  trump    job trump   bully    patriot "
"467"," cnn everything  need  know   zikavirus    seconds  "
"468"," cnnbrk interior department freezes work     science advisory boards  committees according  memo "
"469","venice biennale    miss  cnnheadlines "
"470","clapper putin    demean clinton  help elect trump  cnnheadlines "
"471"," tillmantinman matters youstolemycloud willishubbard drewxray thenation erma godswordisfree bfostersbox bannerite s"
"472"," shocking secret fixes erectile dysfunction  wives  speechless   "
"473"," cnn   five facts  puerto ricos economic crisis  "
"474","increadible  moms simple trick  burns body fat easily   "
"475","happening now president duterte leads  commissioning   philippine red cross humanitarian vessel  fb live "
"476","news korea  happens  americans detained  north korea  cnn cnn  happens  americans detained  "
"477"," cnnbrk  chibok girls held since  freed  negotiations  boko haram  government nigerian official says "
"478"," us navy seal flashlight   banned  public use  can  get    free  "
"479"," mikefarb unhackthevote
 man  helped purge thousands  voter rolls  north carolina "
"480","allnatural miracle pill destroys erectile dysfunction   "
"481","goldingcartoons oxfamaustralia campaignforaid un barackobama realdonaldtrump nytimes wsj hrw cnn
pls make "
"482"," cnnsitroom sen franken asks sally yates   took  long  donald trump  fire michael flynn  danger   republic "
"483"," viewfromwise hero al franken questions justice department attorney  trumps pick  steve bannon impacted hate crimes  usa "
"484","barbied johnchiboyiyke unwomen barbie cnn  know   really wanna   day visit yemen  g "
"485"," yates  questions   trump white house  cnn "
"486"," ritapanahi ahok  christian  crime   read  passage  koran  show   ok  muslims  vote   nonmuslim
"
"487"," phelimkine philippines tries dodging un criticism  drug war killings w big lie strategy  facts hrw "
"488","cnn  senator  high   said "
"489"," beach   washed away  storms    years ago  reappeared     "
"490"," americast whistleblower amber lyon describes  cnn works "
"491","eskimogaskin cnn losers just keep losing  dems   vulgar immoral obstructing bashing  america wi "
"492","cnn  sickening way  handled  football perv proves theres pervasive sexism  penn state id never allow  child  go "
"493"," cnnsitroom  anyone  trump campaign collude  russians

yates   require  reveal classified information
"
"494","dont  lipo  burn fat whilst  sleep try  tonight   "
"495"," eugenescott gop congressional candidate    muslim president    years  dont believe    christian "
"496"," cnn gary alan coe    instant celebrity  appearing   oscars  right  spending  years  prison "
"497","russellrich cnn thats  "
"498"," shit   sad man fucking social media "
"499"," stonewallsue mrsimonmorris alaw cnn lrihendry    respectable network  anything    soros cnns blatantly"
"500","increadible  moms simple trick  burns body fat easily   "
"501","  cnn abc nbc polls  order  make america safe  great "
"502","president trump will decide next week   many  troops us will send    cnnbrk "
"503"," dancaplen fuck  miss  brother "
"504"," trumps america comedians lead  resistance "
"505","amazing  "
"506","  middle   protest  venezuela  violinist plays  national anthem  tear  b "
"507"," asdfghjkl bc   already hard enough  kids  foster care  find  loving home now  gonna pull  bullshit "
"508"," measles outbreak  minnesota    prevented  vaccines health   cnn "
"509"," thepatriotog liberal propaganda floods  news  days smh liberallies fakenews cnn nbc"
"510","cheaper  stronger  adderall according   fda leak   "
"511"," end  near "
"512"," cnn trumps first economic report card showed  slowest quarter  growth  three years  "
"513","trump family members offering visa  chinese people   invest k  family business politico rbreich cnn"
"514","george h w bush fast facts cnn "
"515","limitless pill leaked  new drug wall street traders use   "
"516","hilarious  feed  greggutfeld  markdice trashd mtv awards yet insane sternshow plays clips  theyre oscars foxnews cnn msnbc"
"517","dc festival showcases political activism healthy living  music  cnn "
"518"," cnni critics visa program touted  kushners  way  wealthy foreigners  buy us green cards  "
"519"," rubysoleii  u really wanted  window seat  "
"520","cheaper  stronger  adderall according   fda leak   "
"521"," says kellyannepolls    speech influencer "
"522"," cnn student gives passionate speech  impromptu assembly   student  teacher argued  use   nword "
"523","whitehouse realdonaldtrump abc cbsnews nbcnightlynews cnn newsweek putinrfeng governmentrf fbi iran fb "
"524","campaigners  eu know racism  football   inevitable  italian authorities must act moving interview  s "
"525","bikes long  underdog  streets will rule  roads eventually  transport planning urban cycling"
"526"," fareedzakaria innovations  science  technology   century   engines  tomorrows economies neiltyson  gps "
"527"," cnn jimmy kimmel returns  jimmy kimmel live  monday  week  making  heartfelt speech   newborn son "
"528","gaizkaranguren cnn bourdain cnnoriginals basque kingdom  fact  someone put letters   paper d "
"529","foxandfriends talkshows singers actors therich msm cnn  buthurt   controling  vote rich powerful peo "
"530","accidental diet trick makes  lose  kilo  day   "
"531","cnn  first actuality  war   innocent"
"532","   years  senior gt brigitte trogneux  macrons teacher  first lady  "
"533"," cnn snoop dogg launches nature show fulfilling fans dreams  "
"534"," dont need viagra     daily  cures erectile dysfunction   "
"535","cnn    flag  half mast"
"536","cheaper  stronger  adderall according   fda leak   "
"537","whitehouse realdonaldtrump abc cbsnews nbcnightlynews cnn newsweek putinrfeng governmentrf fbi iran ma "
"538","  middle   protest  venezuela  violinist plays  national anthem  tear gas canisters flew around h "
"539","cnn djcharmain x
rainbow  soul show live today  every tuesday pm swradio  tunein funk soul "
"540"," yashar sally yates testimony  confirming stories  fake news cnn nyt  wapo"
"541"," tengop cnn  hijabwearing barbie became  instagram star

 "
"542"," cnni two boston doctors   engaged  found dead   penthouse apartment police say  "
"543","ed doctor go   trash throw away  blue pill tr   free   "
"544"," leathershirts  cant believe  actually just heard  fucking representative   country say  "
"545","limitless pill leaked  new drug wall street traders use   "
"546","ed doctor go   trash throw away  blue pill tr   free   "
"547"," cnnbrk woman walking  pit bulls arrested   maul  man walking  church "
"548","cnn  hillary   collude   dnc  screw   dem candidate  put  whole country  risk "
"549","accidental diet trick makes  lose  kilo  day   "
"550","commie nattering nabobs gt cnn hosts accuse trump  witness intimidation "
"551","  need  know  net neutrality "
"552","opinion comedians lead  trump resistance "
"553"," views  colberts offcolor trump joke  firing offense "
"554"," willamsvillbill dear vanjones   repchriscollins  host  national town hall  cnn   odd choice   wont meet wit"
"555"," cnn guardians   galaxy vol  marvels th straight   opening  "
"556","reservations   given    people   economically backwardundeveloped families irrespective   castes cnn"
"557","  think traditional media still  brand power   digital world  makes  strong argument    "
"558","im just sayin cnn  call  jackkingston donlemon cnn fakenews skeletor wtf heman "
"559","barbied johnchiboyiyke unwomen barbie cnn   think death isnt enough      tort "
"560","clapper putin sought  advantage trump  cnn "
"561"," taammiim bitch   fuck thats  saying nobody  hungry   dont  access  food  "
"562","genius pill banned everywhere except united states   "
"563","genius pill banned everywhere except united states   "
"564"," safetypindaily trumpmurdoch relationship raises conflictofinterest questions    via cnni 
"
"565"," mcspocky  president  threatening  witness cnn analyst slams trumps disturbing sally yates tweets  h"
"566","jakarta governor ahok sentenced   years  prison   found guilty    cnnbrk via cnvey"
"567","genius pill banned everywhere except united states   "
"568"," cnn frances new presidentelect emmanuel macron took  long victory walk  addressing supporters   louvre "
"569","palestine today  breakgazaseige handsoffalaqsa gaza freepalestine boycottisrael donaldtrump cnn bbc bds"
"570","st rule   flat belly lose  kilo per day   bizarre trick   "
"571","men  ancient root kills  ed tonight  free   "
"572","realdonaldtrump whitehouse vp kvirikashviligi  tbilisi sioni cathedral  georgia  beautiful "
"573","kazeskyz golfman donlemon scottienhughes kfile dylanbyers brianstelter     cnn   th "
"574"," kazeskyz  hasnt donlemon  anyone else  cnn apologized  scottienhughes 

hello kfile dylanbyers brianstelter

sall"
"575"," unwomen  gave barbie  makeover meet  hijarbie  via cnn"
"576","cnn surely  will always  collateral damage  tackling things   nature"
"577","imagine   map  look   healthcare becomes even less affordable   us

healthforall uhc "
"578","cnntonight donlemon  cant wcnn hosts decrying trumps fakenews mantra  turning  paid contrib  defy credulity  validate "
"579","whitehouse realdonaldtrump abc cbsnews nbcnightlynews cnn newsweek putinrfeng governmentrf fbi iran  "
"580","dont show  face   protesters  people   persecuted  put   military trial "
"581"," timburks dont let    stop  "
"582","cnn yes please show  rest  us  vile socialism "
"583","venice biennale    miss "
"584","clapper putin    demean clinton  help elect trump "
"585","gop congressman republicans  irresponsible  celebrate ahca passage  white house  cnn "
"586"," alaw lets make  go viral 

heres donald trumps new campaign ad  cnn   liberal run msm blocked

trump 
fakenew"
"587"," justthatguyben hey cnnpolitics cnn    poll go apparantly  lot  people  berniesanders    report  h"
"588","shocking us navy seal flashlight almost banned  trump  dont know  long  will last  "
"589","chris pratt apologizes  instagram post cnn "
"590"," cnnbrk san diego police kill boy    points bb gun  cop officials say police say teen called    "
"591","edge  sanity  breakgazaseige handsoffalaqsa gaza freepalestine boycottisrael donaldtrump cnn bbc bds"
"592","powerful brainenhancer doubles iq   "
"593"," cnn   still  host im still  host stephen colbert responded  backlash  received  remarks  trump "
"594"," many paths  president donald trump  russia  "
"595"," shocking secret fixes erectile dysfunction  wives  speechless   "
"596","teen turns    video   dragging throwing woman  pool    cnnbrk via cnvey"
"597"," shocking secret fixes erectile dysfunction  wives  speechless   "
"598","cnn  guess selling  uranium didnt help killary"
"599","cnnpolitics damn cnn   trying really hard  just posted    hour ago  youre   "
"600","  amp senseless frathazing deaths still happen  kids  old enough  know better  penn state "
"601","irish beach returns   years  sea
"
"602"," shehatesjacoby yall gotta stop voting idiots  congress  "
"603","barbied johnchiboyiyke unwomen barbie cnn  also part   culture  hang ppl    cr "
